situation_id,trajectory_id,distance,wind,precipitation,fuel,time,score
110,2,8366.68,4.441538461538462,0.0,8366.68,600.82,8967.5
111,0,753.33,2.7006666666666663,0.052000000000000005,753.33,55.01,808.34
111,1,950.74,3.2915384615384613,0.0,950.74,69.03,1019.77
111,2,964.93,2.9438461538461542,0.0,964.93,70.3,1035.23
112,0,911.26,4.575333333333333,0.0,911.26,65.35,976.61
112,1,934.28,4.992307692307692,0.0,934.28,66.74,1001.02
112,2,921.01,3.7776923076923077,0.0,921.01,66.56,987.5699999999999
113,0,188.53,2.024,0.0,188.53,13.86,202.39
113,1,602.31,1.8146153846153845,0.06692307692307692,602.31,44.37,646.68
113,2,639.38,7.306923076923076,0.0,639.38,44.69,684.0699999999999
114,0,327.85,1.552,0.0,327.85,24.21,352.06
114,1,670.6,1.5938461538461537,0.1553846153846154,670.6,49.51,720.11
114,2,698.36,4.563076923076923,0.0,698.36,50.09,748.45
115,0,566.52,2.9819999999999998,0.10933333333333332,566.52,41.26,607.78
115,1,761.11,2.0084615384615385,0.013846153846153845,761.11,55.96,817.07
115,2,783.9,4.056923076923077,0.0,783.9,56.5,840.4
116,0,933.88,2.628,0.05266666666666666,933.88,68.25,1002.13
116,1,1090.65,2.7453846153846153,0.0,1090.65,79.61,1170.26
116,2,1118.18,3.4030769230769233,0.013076923076923078,1118.18,81.1,1199.28
117,0,327.44,2.265333333333333,0.05333333333333334,327.44,24.01,351.45
117,1,642.84,1.5961538461538463,0.22076923076923077,642.84,47.46,690.3000000000001
117,2,683.85,7.243076923076923,0.05384615384615384,683.85,47.82,731.6700000000001
118,0,553.25,1.54,0.10200000000000001,553.25,40.86,594.11
118,1,713.67,1.7061538461538461,0.15384615384615385,713.67,52.63,766.3
118,2,720.44,1.7292307692307693,0.008461538461538461,720.44,53.11,773.5500000000001
119,0,764.56,2.1153333333333335,0.0,764.56,56.15,820.7099999999999
119,1,928.7,2.000769230769231,0.01846153846153846,928.7,68.29,996.99
119,2,960.44,4.03,0.07692307692307693,960.44,69.24,1029.68
120,0,889.43,3.1606666666666663,0.037333333333333336,889.43,64.66,954.0899999999999
120,1,1038.98,3.0015384615384613,0.0,1038.98,75.65,1114.63
120,2,1059.57,3.236923076923077,0.025384615384615387,1059.57,76.98,1136.55
121,0,796.18,5.053333333333333,0.0,796.18,56.84,853.02
121,1,927.98,4.594615384615385,0.02923076923076923,927.98,66.54,994.52
121,2,933.68,4.406153846153846,0.0,933.68,67.07,1000.75
122,0,143.35,1.2166666666666666,0.0,143.35,10.62,153.97
122,1,591.1,1.2215384615384617,0.0,591.1,43.8,634.9
122,2,631.63,7.380769230769231,0.0,631.63,44.12,675.75
123,0,705.05,2.7506666666666666,0.07666666666666666,705.05,51.46,756.51
123,1,891.11,2.480769230769231,0.024615384615384615,891.11,65.22,956.33
123,2,908.09,2.7515384615384617,0.0,908.09,66.28,974.37
124,0,336.98,1.5033333333333334,0.03333333333333333,336.98,24.9,361.88
124,1,673.79,1.3215384615384616,0.13692307692307693,673.79,49.87,723.66
124,2,707.84,5.228461538461539,0.0,707.84,50.45,758.2900000000001
125,0,949.46,2.9313333333333333,0.0,949.46,69.18,1018.6400000000001
125,1,1104.91,2.689230769230769,0.0,1104.91,80.7,1185.6100000000001
125,2,1127.13,2.64,0.0,1127.13,82.36,1209.49
126,0,325.31,1.5086666666666666,0.008666666666666666,325.31,24.04,349.35
126,1,669.21,1.5861538461538462,0.2253846153846154,669.21,49.41,718.62
126,2,696.72,4.527692307692307,0.02,696.72,49.99,746.71
127,0,461.23,1.8946666666666667,0.024666666666666667,461.23,33.95,495.18
127,1,731.77,2.167692307692308,0.04846153846153846,731.77,53.72,785.49
127,2,745.06,2.581538461538462,0.03769230769230769,745.06,54.47,799.53
129,0,546.85,4.644666666666667,0.0,546.85,39.19,586.04
129,1,775.09,2.3515384615384614,0.01846153846153846,775.09,56.8,831.89
129,2,801.16,4.632307692307692,0.0,801.16,57.43,858.5899999999999
130,0,4982.72,4.084666666666666,0.0,4982.72,359.04,5341.76
130,1,4968.36,3.769230769230769,0.0,4968.36,359.09,5327.45
130,2,5062.88,4.773846153846154,0.0,5062.88,362.41,5425.29
132,0,8739.22,3.482666666666667,0.0,8739.22,633.38,9372.599999999999
132,1,8756.63,3.836153846153846,0.0,8756.63,632.48,9389.109999999999
132,2,8793.26,4.2384615384615385,0.0,8793.26,632.68,9425.94
133,0,416.06,4.8533333333333335,0.0,416.06,29.76,445.82
133,1,636.61,5.011538461538462,0.0,636.61,45.47,682.08
133,2,639.31,4.923076923076923,0.0,639.31,45.7,685.01
134,0,1280.17,3.0540000000000003,0.0,1280.17,93.17,1373.3400000000001
134,1,1374.31,2.534615384615385,0.011538461538461537,1374.31,100.53,1474.84
134,2,1413.63,4.089230769230769,0.0,1413.63,101.86,1515.49
135,0,803.19,3.192,0.043333333333333335,803.19,58.38,861.57
135,1,994.64,3.4792307692307696,0.024615384615384615,994.64,72.09,1066.73
135,2,1018.28,4.036153846153846,0.053076923076923084,1018.28,73.41,1091.69
136,0,628.62,2.948,0.022000000000000002,628.62,45.8,674.42
136,1,848.56,3.9215384615384616,0.0,848.56,61.24,909.8
136,2,852.04,2.8592307692307695,0.02076923076923077,852.04,62.13,914.17
137,0,505.77,3.3826666666666667,0.0,505.77,36.69,542.46
137,1,772.86,3.463846153846154,0.01,772.86,56.02,828.88
137,2,795.71,4.980769230769231,0.04307692307692308,795.71,56.85,852.5600000000001
138,0,931.98,2.628,0.05,931.98,68.11,1000.09
138,1,1090.07,2.7453846153846153,0.0,1090.07,79.57,1169.6399999999999
138,2,1117.37,3.4030769230769233,0.015384615384615385,1117.37,81.04,1198.4099999999999
139,0,663.14,2.804666666666667,0.01,663.14,48.38,711.52
139,1,885.32,2.902307692307692,0.0,885.32,64.53,949.85
139,2,911.11,4.117692307692308,0.17615384615384616,911.11,65.63,976.74
140,0,890.15,3.524666666666667,0.0,890.15,64.49,954.64
